2026-09-06 | scaffold | 0 done, 32 remaining
2026-09-06 | scaffold | 0 done, 32 remaining
2026-09-06 | 01-audio-representation | Digital Audio Representation | OK
2026-09-06 | 01-audio-representation | Digital Audio Representation | OK (attempt 2 — fixed f==fs/2 boundary)
2026-09-06 | 01-audio-representation | gate | validate=PASS factcheck=PASS attempts=2
2026-09-06 | 02-spectrograms-mel | Spectrograms and the Mel Scale | OK
2026-09-06 | 02-spectrograms-mel | Spectrograms and the Mel Scale | OK (attempt 2 — fixed mel-axis 'half' overstatement to 18/80 triangles, hangover ratio to ~1 order, Δf=fs/win_length in takeaway)
2026-09-06 | 02-spectrograms-mel | gate | validate=PASS factcheck=PASS attempts=2
2026-09-06 | 03-telephony-audio | Telephony Audio Constraints | OK
2026-09-06 | 03-telephony-audio | gate | validate=PASS factcheck=PASS attempts=1
2026-09-06 | 04-jitter-loss-concealment | Jitter, Packet Loss and Concealment | OK
2026-09-06 | 04-jitter-loss-concealment | Jitter, Packet Loss and Concealment | OK (attempt 2 — RTCP RR carries no burst structure; burst histogram now sourced from local depacketiser instrumentation, RFC 3611 XR noted as averages only)
2026-09-06 | 04-jitter-loss-concealment | gate | validate=PASS factcheck=PASS attempts=2
2026-09-06 | 05-vad-endpointing | Voice Activity Detection and Endpointing | OK
2026-09-07 | 05-vad-endpointing | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 06-text-normalization | Text Normalization for Speech | OK
2026-09-07 | 06-text-normalization | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 07-grapheme-to-phoneme | Grapheme-to-Phoneme Conversion | OK
2026-09-07 | 07-grapheme-to-phoneme | gate | validate=PASS factcheck=PASS attempts=1
2026-09-07 | 08-prosody | Prosody: Pitch, Duration and Energy | OK
2026-09-07 | 08-prosody | Prosody: Pitch, Duration and Energy | OK (attempt 2 — terminal-move reference is now the last phone ENDING before the closing 150 ms, so statement reads -2.0 st; emphatic gained an L-L% boundary fall; L2->conditional mean vs L1->conditional median corrected in theory, interview line and takeaway; trimmed to the 30 KB core ceiling)
2026-09-07 | 08-prosody | gate | validate=PASS factcheck=PASS attempts=2
2026-09-07 | 09-forced-alignment | Forced Alignment | OK
2026-09-07 | 09-forced-alignment | Forced Alignment | OK (attempt 2 — deletion absorption corrected: orphaned frames go to the voiced neighbours (IH 180 ms), closing SIL holds at its true 140 ms since silence has the lowest-energy emission; all per-mode narrative now derived from the computed path instead of asserted, so MAE/floor/longest-phone text cannot disagree with the stats; substitution mode no longer claims "nothing is starved" when 3 phones sit on the floor)
2026-09-07 | 09-forced-alignment | gate | validate=PASS factcheck=PASS attempts=2
2026-09-07 | 10-tacotron2 | Tacotron 2 | OK
2026-09-07 | 10-tacotron2 | Tacotron 2 | OK (attempt 2 — post-net lookahead corrected: 10 future frames are 125 ms of AUDIO but only ~15 ms of wall clock, so TTFA is ~37 ms and there is no "125 ms streaming floor"; JS detail string now sums (17 ms decode + 20 ms vocoder = 37 ms) instead of asserting 125+17+20=37; reference PyTorch impl (NVIDIA) pairs Tacotron 2 with WaveGlow, paper with modified WaveNet; theory trimmed 783 -> 749 words for the core ceiling)
