2026-06-28 | scaffold | 0 done, 36 remaining
2026-06-28 | scaffold | 0 done, 36 remaining
2026-06-28 | 01-self-supervision | Self-Supervision in LLMs | OK
2026-06-28 | 02-seq2seq | Seq2Seq Architecture | OK
2026-06-28 | 03-rnn | Recurrent Neural Networks (RNN) | OK
2026-06-28 | 04-transformers-overview | Transformer Architecture Overview | OK
2026-06-28 | 05-prefill-decode | Prefill & Decode Phases | OK
2026-06-28 | 06-qkv-attention | Query, Key, Value Attention | OK
2026-06-28 | 07-rwkv | RWKV Model | OK
2026-06-28 | 08-chinchilla | Chinchilla Scaling Law | OK
2026-06-28 | 09-bottlenecks | LLM Development Bottlenecks | OK
2026-06-28 | 10-post-training | Post-Training: Why & How | OK
2026-06-28 | 11-rlhf | RLHF — Reinforcement Learning from Human Feedback | OK
2026-06-28 | 12-dpo | DPO — Direct Preference Optimization | OK
2026-06-28 | 13-best-of-n | Best-of-N / Beam Search | OK
2026-06-28 | 14-finetuning-overview | Fine-Tuning: When, Why & Decision Framework | OK
2026-06-28 | 15-finetuning-types | Fine-Tuning Types: Full, Partial, PEFT | OK
2026-06-28 | 16-lora | LoRA — Low-Rank Adaptation | OK
2026-06-28 | 17-distillation | Model Distillation | OK
2026-06-28 | 18-multitask-finetuning | Multi-Task Fine-Tuning & Model Merging | OK
2026-06-28 | 19-finetuning-hyperparams | Fine-Tuning Hyperparameters | OK
2026-06-28 | 20-memory-bottlenecks | Memory Bottlenecks in Fine-Tuning | OK
2026-06-28 | 21-token-sampling | Token Sampling: Temperature, Top-K, Top-P | OK
2026-06-28 | 22-evaluation-metrics | LLM Evaluation Metrics | OK
2026-06-28 | 23-evaluation-pipeline | Evaluation Pipeline Design | OK
2026-06-28 | 24-loss-functions | Loss Functions: Cross-Entropy & Perplexity | OK
2026-06-28 | 25-model-evaluation-workflow | Model Evaluation Workflow | OK
2026-06-28 | 26-open-weight-vs-opensource | Open Weight vs Open Source Models | OK
2026-06-28 | 27-prompt-engineering | Prompt Engineering Strategies | OK
2026-06-28 | 28-prompt-attacks | Prompt Attacks & Defenses | OK
2026-06-28 | 29-rag-overview | RAG: Retrieval-Augmented Generation | OK
2026-06-28 | 30-vector-search | Vector Search & KNN | OK
2026-06-28 | 31-agents-overview | AI Agents: Observe → Decide → Act → Learn | OK
2026-06-28 | 32-agent-memory | Agent Memory Systems | OK
2026-06-28 | 33-dataset-engineering | Dataset Engineering for LLMs | OK
2026-06-28 | 34-inference-optimization | Inference Optimization | OK
2026-06-28 | 35-speculative-decoding | Speculative Decoding | OK
2026-06-28 | 36-model-parallelism | Model & Tensor Parallelism | OK
