2026-08-19 | scaffold | 0 done, 22 remaining
2026-08-19 | 01-caching-strategies | Caching Strategies | OK
2026-08-19 | 02-queues-backpressure | Queues and Backpressure | OK
2026-08-19 | 03-consistency-tradeoffs | Consistency Trade-offs | OK
2026-08-19 | 04-sharding-partitioning | Sharding and Partitioning | OK
2026-08-19 | 05-idempotency | Idempotency | OK
2026-08-19 | 06-circuit-breakers-bulkheads | Circuit Breakers and Bulkheads | OK
2026-08-20 | 07-change-data-capture | Change Data Capture (CDC) | OK
2026-08-20 | 08-rate-limiting | Rate Limiting | OK
2026-08-20 | 09-load-balancing | Load Balancing | OK
2026-08-20 | 10-service-discovery | Service Discovery | OK
2026-08-20 | 11-consensus-algorithms | Consensus Algorithms (Raft/Paxos) | OK
2026-08-20 | 12-database-replication | Database Replication | OK
2026-08-20 | 13-distributed-transactions | Distributed Transactions (2PC & Saga) | OK
2026-08-20 | 14-concurrency-control | Concurrency Control (Optimistic, Pessimistic, MVCC) | OK
2026-08-21 | 15-distributed-locking | Distributed Locking and Fencing Tokens | OK
2026-08-21 | 16-event-sourcing-cqrs | Event Sourcing and CQRS | OK
2026-08-21 | 17-observability | Observability (Metrics, Logs, Traces) | OK
2026-08-21 | 18-api-design-evolution | API Design and Evolution | OK
2026-08-21 | 19-indexing-storage-engines | Indexing and Storage Engines (B-tree vs LSM-tree) | OK
2026-08-21 | 20-zero-downtime-deployments | Zero-Downtime Deployments | OK
2026-08-21 | 21-multi-region-architecture | Multi-Region Architecture | OK
2026-08-21 | 22-connection-pooling | Connection Pooling and Resource Exhaustion | OK
