2026-08-13 | scaffold | 0 done, 38 remaining
2026-08-13 | 01-bias-variance-tradeoff | Bias-Variance Tradeoff | OK
2026-08-13 | 02-bayes-theorem | Bayes' Theorem | OK
2026-08-13 | 03-central-limit-theorem | Central Limit Theorem | OK
2026-08-13 | 04-hypothesis-testing | Hypothesis Testing & A/B Significance | OK
2026-08-13 | 05-mle-vs-map | MLE vs MAP Estimation | OK
2026-08-13 | 06-linear-regression | Linear Regression | OK
2026-08-13 | 07-logistic-regression | Logistic Regression | OK
2026-08-13 | 08-svm-margins | SVM & Maximum Margin | OK
2026-08-15 | 09-decision-trees | Decision Trees | OK
2026-08-15 | 10-knn | k-Nearest Neighbors | OK
2026-08-15 | 11-naive-bayes | Naive Bayes Classifier | OK
2026-08-15 | 12-bagging-vs-boosting | Bagging vs Boosting | OK
2026-08-15 | 13-random-forest | Random Forest | OK
2026-08-15 | 14-gradient-boosting | Gradient Boosting (XGBoost/LightGBM) | OK
2026-08-15 | 15-stacking-ensembles | Stacking Ensembles | OK
2026-08-15 | 16-kmeans-clustering | k-Means Clustering | OK
2026-08-15 | 17-hierarchical-clustering | Hierarchical Clustering | OK
2026-08-15 | 18-dbscan | DBSCAN Density Clustering | OK
2026-08-15 | 19-pca | Principal Component Analysis | OK
2026-08-15 | 20-tsne-umap | t-SNE & UMAP | OK
2026-08-15 | 21-cross-validation | Cross-Validation Strategies | OK
2026-08-15 | 22-confusion-matrix-metrics | Confusion Matrix & Metrics | OK
2026-08-16 | 23-roc-pr-curves | ROC vs Precision-Recall Curves | OK
2026-08-16 | 24-learning-curves | Learning Curves Diagnosis | OK
2026-08-16 | 25-gradient-descent-variants | Gradient Descent Variants | OK
2026-08-16 | 26-regularization-l1-l2 | L1 vs L2 Regularization | OK
2026-08-16 | 27-dropout-batchnorm | Dropout & Batch Normalization | OK
2026-08-16 | 28-backpropagation | Backpropagation | OK
2026-08-16 | 29-cnn-convolution | CNNs & Convolution | OK
2026-08-16 | 30-rnn-lstm-gru | RNN, LSTM & GRU | OK
2026-08-16 | 31-weight-init-vanishing-gradients | Weight Init & Vanishing Gradients | OK
2026-08-16 | 32-feature-scaling | Feature Scaling | OK
2026-08-25 | 33-encoding-categorical | Categorical Encoding | OK
2026-08-25 | 34-imbalanced-data-handling | Handling Imbalanced Data | OK
2026-08-25 | 35-recommender-systems | Recommender Systems | OK
2026-08-25 | 36-ab-testing | A/B Testing for ML Products | OK
